clip_id,section,direction,english,arabic
welcome,Milo — greetings & celebration,"warm, smiling, unhurried; celebrate gently (never shout)",Hi! I'm Milo! Let's play together!,أَهْلاً! أَنا مِيلُو! هَيَّا نَلْعَبُ مَعاً!
choose_game,Milo — greetings & celebration,"warm, smiling, unhurried; celebrate gently (never shout)",Pick a game! Which one do you like?,اِخْتَرْ لُعْبَةً! أَيُّها تُحِبُّ؟
great_job,Milo — greetings & celebration,"warm, smiling, unhurried; celebrate gently (never shout)",Great job! You did it!,أَحْسَنْتَ! لَقَدْ نَجَحْتَ!
well_done,Milo — greetings & celebration,"warm, smiling, unhurried; celebrate gently (never shout)",Well done! That was wonderful!,رائِعٌ! كانَ هٰذا جَميلاً جِدّاً!
try_again,Milo — greetings & celebration,"warm, smiling, unhurried; celebrate gently (never shout)","Hmm, let's try again!",هَيَّا نُحاوِلُ مَرَّةً أُخْرَى!
sticker_earned,Milo — greetings & celebration,"warm, smiling, unhurried; celebrate gently (never shout)",You got a new sticker! Yay!,حَصَلْتَ عَلَى مُلْصَقٍ جَديدٍ! يا سَلامْ!
level_up,Milo — greetings & celebration,"warm, smiling, unhurried; celebrate gently (never shout)",You're getting so good at this!,أَنْتَ تَتَحَسَّنُ كَثيراً!
unit_done,Milo — greetings & celebration,"warm, smiling, unhurried; celebrate gently (never shout)",You finished the whole unit! Amazing!,أَنْهَيْتَ الوَحْدَةَ كامِلَةً! مُذْهِلٌ!
path_intro,Milo — greetings & celebration,"warm, smiling, unhurried; celebrate gently (never shout)",This is our learning path! Tap the glowing circle!,هٰذا مَسارُ التَّعَلُّمِ! اِضْغَطْ عَلَى الدّائِرَةِ المُضيئَةِ!
rooms_intro,Milo — greetings & celebration,"warm, smiling, unhurried; celebrate gently (never shout)",Choose a room to play in!,اِخْتَرْ غُرْفَةً لِتَلْعَبَ فيها!
session_over,Session & bedtime — calm and slow,"soft, slow, sleepy warmth",Play time is over for now. See you soon!,اِنْتَهَى وَقْتُ اللَّعِبِ الآنَ. إِلَى اللِّقاءِ قَريباً!
good_night,Session & bedtime — calm and slow,"soft, slow, sleepy warmth",Good night! Sleep tight!,تُصْبِحُ عَلَى خَيْرٍ! نَوْماً هَنيئاً!
bedtime_intro,Session & bedtime — calm and slow,"soft, slow, sleepy warmth",It's almost bedtime. Let's get ready!,اِقْتَرَبَ وَقْتُ النَّوْمِ. هَيَّا نَسْتَعِدُّ!
bedtime_toys,Session & bedtime — calm and slow,"soft, slow, sleepy warmth",Put the toy in the basket!,ضَعِ اللُّعْبَةَ في السَّلَّةِ!
bedtime_teeth,Session & bedtime — calm and slow,"soft, slow, sleepy warmth",Let's brush my teeth!,هَيَّا نُنَظِّفُ أَسْناني!
bedtime_pajamas,Session & bedtime — calm and slow,"soft, slow, sleepy warmth",Help me put on my pajamas!,ساعِدْني في اِرْتِداءِ البيجاما!
bedtime_teddy,Session & bedtime — calm and slow,"soft, slow, sleepy warmth",Put the teddy bear in the bed!,ضَعِ الدُّبْدُوبَ في السَّريرِ!
bedtime_light,Session & bedtime — calm and slow,"soft, slow, sleepy warmth",Turn off the light!,أَطْفِئِ النُّورَ!
bedtime_done,Session & bedtime — calm and slow,"soft, slow, sleepy warmth",Good night! Sweet dreams!,تُصْبِحُ عَلَى خَيْرٍ! أَحْلاماً سَعيدَةً!
feed_intro,Game instructions,"clear, warm, a touch of playful invitation; pause slightly between clauses",The animals are hungry! Let's feed them!,الحَيَواناتُ جائِعَةٌ! هَيَّا نُطْعِمُها!
feed_rabbit,Game instructions,"clear, warm, a touch of playful invitation; pause slightly between clauses",Give the carrot to the bunny!,أَعْطِ الجَزَرَةَ لِلأَرْنَبِ!
feed_cow,Game instructions,"clear, warm, a touch of playful invitation; pause slightly between clauses",Give the grass to the cow!,أَعْطِ العُشْبَ لِلْبَقَرَةِ!
feed_monkey,Game instructions,"clear, warm, a touch of playful invitation; pause slightly between clauses",Give the banana to the monkey!,أَعْطِ المَوْزَةَ لِلْقِرْدِ!
